"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2132","Seller Selection","","2026-07-16","failed","2026-07-16","Offer","","",""
"","116","Edit Quote","","2026-07-16","failed","2026-07-16","Quote","","",""
"","76","Create Quote","","2026-07-16","passed","2026-07-16","Quote","","",""
"","2635","Search Filters","","2026-07-16","passed","2026-07-16","Search","","",""
"","2926","Multi Seller Selection","","2026-07-16","failed","2026-07-16","Offer","","",""
"","149","Cancel Quote","","2026-07-16","failed","2026-07-16","Quote","","",""
"","8168","Buy Box","","2026-07-16","passed","2026-07-16","Offer","","",""
"","16","Private Checkout","","2026-07-16","passed","2026-07-16","Checkout","","",""
"","83","Guest Checkout","","2026-07-16","passed","2026-07-16","Checkout","","",""
"","3270","Out Of Stock Seller","","2026-07-16","failed","2026-07-16","Offer","","",""
"","71","Valid Login","","2026-07-16","passed","2026-07-16","Login","","",""
"","2070","Invalid Coupon","","2026-07-16","failed","2026-07-16","Checkout","","",""
"","20","Invalid Login","","2026-07-16","passed","2026-07-16","Login","","",""
"","4187","Product Search","","2026-07-16","passed","2026-07-16","Search","","",""
"","11","Invalid username","","2026-07-16","passed","2026-07-16","Login","","",""
"","16","Forgot Password","","2026-07-16","passed","2026-07-16","Login","","",""
"","35","Submit Quote","","2026-07-16","failed","2026-07-16","Quote","","",""
"","53","Payment Gateway Timeout","","2026-07-16","failed","2026-07-16","Checkout","","",""
"","2853","Invalid Search","","2026-07-16","failed","2026-07-16","Search","","",""
